Cluster Number,Keywords
34,"ndis rockingham, hotels rockingham, rockingham houses, accommodation rockingham wa, accommodation in rockingham wa, rockingham accommodation wa, rockingham wa accommodation, rockingham accommodation, hotels in rockingham"
35,"long stay accommodation perth, accessible accommodation perth, wheelchair accessible accommodation perth, short stay accommodation perth, mental health accommodation perth, accommodation perth region, share accommodation perth, serviced accommodation perth"
36,"disabled living accommodation, accommodation for disabled adults, accommodation for people with disabilities"
37,"disability, disability centre, disability living, disabled living manchester"
38,"perth expo, home and living expo, ndis expo perth, ndis expo, living expo, developing australian communities expo, perth home expo, home expo perth, disability expo, perth disability expo, disability expo perth, home living expo, expo perth, perth expo centre, beauty expo perth"
39,"sda eligibility, sda eligibility criteria, sda ndis eligibility"
40,"sil supports, sil support, supports sil"
41,"mandurah apartments, apartments mandurah, apartments in mandurah"
42,"ndis conference 2021, adelphi 2021, home living exhibition 2021"
43,"perth serviced apartment deal, cheap serviced apartments perth, serviced apartments perth"
